datum_tijd,Q
2009-01-01,1401.32
2009-01-02,1364.4
2009-01-03,1331.04
2009-01-04,1290.56
2009-01-05,1252.4
2009-01-06,1226.2
2009-01-07,1195.56
2009-01-08,1156.24
2009-01-09,1118.52
2009-01-10,1077.8
2009-01-11,1043.64
2009-01-12,1002.96
2009-01-13,997.64
2009-01-14,975.48
2009-01-15,966.84
2009-01-16,961.84
2009-01-17,958.16
2009-01-18,964.48
2009-01-19,989.2
2009-01-20,1034.08
2009-01-21,1081.24
2009-01-22,1209.56
2009-01-23,1365.16
2009-01-24,1444.12
2009-01-25,1544.68
2009-01-26,1911.16
2009-01-27,2161.96
2009-01-28,2076.36
2009-01-29,1885.12
2009-01-30,1682.56
2009-01-31,1527.4
2009-02-01,1431.08
2009-02-02,1372.72
2009-02-03,1330.32
2009-02-04,1289.52
2009-02-05,1235.64
2009-02-06,1196.24
2009-02-07,1161.0
2009-02-08,1135.72
2009-02-09,1116.68
2009-02-10,1157.24
2009-02-11,1312.6
2009-02-12,1435.48
2009-02-13,1675.32
2009-02-14,1920.64
2009-02-15,1922.68
2009-02-16,1815.6
2009-02-17,1680.56
2009-02-18,1625.68
2009-02-19,1687.56
2009-02-20,1785.92
2009-02-21,1833.8
2009-02-22,1786.88
2009-02-23,1696.92
2009-02-24,1652.2
2009-02-25,1672.48
2009-02-26,1750.64
2009-02-27,1824.8
2009-02-28,1845.64
2009-03-01,1829.24
2009-03-02,1798.92
2009-03-03,1816.12
2009-03-04,1852.68
2009-03-05,1857.68
2009-03-06,1860.36
2009-03-07,1945.16
2009-03-08,2148.28
2009-03-09,2396.32
2009-03-10,2647.96
2009-03-11,2743.48
2009-03-12,2767.4
2009-03-13,2888.8
2009-03-14,3031.32
2009-03-15,3080.36
2009-03-16,3026.0
2009-03-17,2872.48
2009-03-18,2656.12
2009-03-19,2435.4
2009-03-20,2258.56
2009-03-21,2110.84
2009-03-22,1993.32
2009-03-23,1900.72
2009-03-24,1830.56
2009-03-25,1776.28
2009-03-26,1740.44
2009-03-27,1763.0
2009-03-28,1863.28
2009-03-29,2061.28
2009-03-30,2259.0
